Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County, Agency Name,Street,City, State,Zip,Agency Phone,Agency Contact,  Street ,City,State,Zip,"Minimum 
Age Served","Maximum 
Age Served",     Star Rating, Provider Type,Capacity,   Open Time,   Close Time,"Certificate 
Program
 Participant"," Offers
 Scholarships","   Offers 
   Sliding 
       Scale Fee     ","Offers 
Multi- Child Discount",Approved For Transportation,"Charges 
Fee for 
Transportation","Regulatory
Agency"," Regulatory 
Status", License Approval Date,Date Open,Near Public Transportation," Wheel 
Chair
 Accessible",  No Smoking ,  No Dogs ,  No Cats ,No Pets ,"   Child and  Adult
  Care Food 
      Program      Participant","   Program 
   Evaluator","Program
Evaluator
Phone Number"
,ANDERSON,Clinton Middle Head Start Transition,110 N. Hicks Street,Clinton,TN,37716,(865) 463-2833  ,Anne Ford,110 N. Hicks Street,Clinton,TN,37716,3YR,5YR,,Center,18,08:00 AM,04:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,10/9/2018,Y,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,Clinton Preschools Afterschool,708 N. Main Street,Clinton,TN,37716,(865) 463-2833  ,Tammy Overton,708 N. Main Street,Clinton,TN,37716,3YR,4YR,,Center,30,03:00 PM,06:00 PM,Y,N,N,N,N,N,Department Of Education,Approved,10/1/2021,8/14/2020,Y,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,ACS Preschool Employee ChildCare Claxton,2218 Clinton Hwy,Powell,TN,37849,(865) 463-2833  ,Tammy Overton,2218 Clinton Hwy,Powell,TN,37849,6WK,2YR,,Center,16,07:00 AM,05:00 PM,Y,N,N,N,N,N,Department Of Education,Approved,10/1/2021,8/21/2020,Y,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,ACCTC HEAD START CENTER,140 MAVERICK LANE,CLINTON,TN,37716,(865) 463-2332  ,Anne Ford,708 N. MAIN STREET,CLINTON,TN,37716,6WK,5YR,,Center,36,08:15 AM,02:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,10/1/1992,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,FAIRVIEW ELEM HEAD START,6715 HICKORY VALLEY ROAD,HEISKELL,TN,37754,(865) 494-3229  ,Anne Ford,708 NORTH MAIN STREET,CLINTON,TN,37716,3YR,5YR,,Center,40,07:30 AM,01:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,5/1/1994,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Grand Oaks Elem Head Start,1033 Oliver Springs Hwy,Clinton,TN,37716,(865) 463-2833  ,Anne Ford,708 NORTH MAIN STREET,CLINTON,TN,37716,3YR,6YR,,Center,60,07:30 AM,01:45 PM,N,N,N,N,Y,N,Department Of Education,Approved,10/1/2021,9/1/1989,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,NORWOOD ELEM PRE-K,809 TRI COUNTY BLVD.,OLIVER SPRINGS,TN,37840,(865) 435-5039  ,Anne Ford,708 NORTH MAIN STREET,CLINTON,TN,37716,3YR,5YR,3,Center,20,08:00 AM,01:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/1/1999,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,NORWOOD EARLY HEAD START,669 TRI-COUNTY BLVD.,OLIVER SPRINGS,TN,37840,(865) 463-2833  ,Anne Ford,708 N. MAIN STREET,CLINTON,TN,37716,6WK,3YR,3,Center,9,08:00 AM,04:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,12/1/1999,N,N,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,OAK RIDGE EARLY HEAD START,1051 OAK RIDGE TURNPIKE,OAK RIDGE,TN,37830,(865) 482-7633  ,Anne Ford,708 N. MAIN STREET,CLINTON,TN,37716,6WK,36MO,3,Center,16,08:00 AM,04:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,12/1/2002,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Briceville Elem Head Start,103 Slatestone Rd.,Briceville,TN,37710,(865) 630-1230  ,Anne Ford,708 N. Main Street,Clinton,TN,37716,4YR,5YR,,Center,20,07:30 AM,01:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,5/25/2012,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Grand Oaks Elem.-Explore 2 Soar,1033 Oliver Springs Highway,Clinton,TN,37716,(865) 435-1506  ,Shasta Sharp,101 South Main Street,Clinton,TN,37716,5YR,12YR,,Center,140,07:00 AM,05:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/22/2014,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Briceville Elem.-Explore 2 Soar,103 Slatestone Road,Briceville,TN,37710,(865) 426-2289  ,Candace Eubanks,101 South Main Street,Clinton,TN,37716,5YR,12YR,,Center,90,06:50 AM,05:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/22/2014,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Norwood Elem.-Explore 2 Soar,809 E. Tri-County Blvd.,Oliver Springs,TN,37840,(865) 435-2519  ,Candace Eubanks,101 South Main Street,Clinton,TN,37716,5YR,12YR,,Center,100,03:30 PM,06:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/22/2014,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Norwood MS-Explore 2 Soar,805 E. Tri-County Blvd.,Oliver Springs,TN,37840,(865) 435-7749  ,Candace Eubanks,101 South Main Street,Clinton,TN,37716,10YR,15YR,,Center,100,06:45 AM,05:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/22/2014,N,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,CLINTON MS EXPLORE 2 SOAR,110 N. Hicks Street,Clinton,TN,37116,(865) 457-3451  ,Kerry Patterson,110 N. Hicks Street,Clinton,TN,37116,10YR,15YR,,Center,150,07:30 AM,05:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/26/2017,N,Y,Y,N,N,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,DUTCH VALLEY ELEM EXPLORE 2 SOAR,1044 OLD DUTCH VALLEY RD,CLINTON,TN,37716,(865) 457-2599  ,,1044 OLD DUTCH VALLEY RD,CLINTON,TN,37716,5YR,12YR,,Center,100,06:50 AM,05:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,9/26/2017,N,Y,Y,N,N,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,Claxton Elem Explore 2 Soar,2218 Clinton Hwy,Powell,TN,37849,(865) 748-5647  ,Candace Eubanks,2218 Clinton Hwy,Powell,TN,37849,,,,Center,250,,,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,10/1/2020,N,N,N,N,N,N,N,Adrienne Butler,(931) 239-6819
,ANDERSON,Norris Elem Explore 2 Soar,42 East Circle Dr,Norris,TN,37828,(865) 748-5647  ,,42 East Circle Dr,Norris,TN,37828,,,,Center,425,,,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,10/1/2020,N,N,N,N,N,N,N,Adrienne Butler,(931) 239-6819
,ANDERSON,"Oak Ridge Nursery School, Inc",151 Robertsville Road,Oak Ridge,TN,37830,(865) 483-3036  ,Lisa ErrettShortridg,151 Robertsville Road,Oak Ridge,TN,37830,12MO,8YR,3,Center,75,07:00 AM,06:00 PM,Y,Y,N,Y,N,N,DHS Licensing,Licensed,1/1/2021,10/1/1990,N,N,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,LINDEN ELEMENTARY SCHOOL - ESP,700 ROBERTSVILLE ROAD,OAK RIDGE,TN,37830,(865) 425-5704  ,Ingrid Hamm,Ingrid Hamm,OAK RIDGE,TN,37830,5YR,12YR,,Center,100,06:30 AM,06:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,WILLOW BROOK ELEM. SCHOOL - ESP,298 ROBERTSVILLE ROAD,OAK RIDGE,TN,37830,(865) 425-3204  ,Ingrid Hamm,1450 Oak Ridge Turnpike,OAK RIDGE,TN,37830,5YR,11YR,,Center,100,06:30 AM,06:00 PM,N,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,WOODLAND ELEM. SCHOOL - ESP,168 MANHATTAN AVENUE,OAK RIDGE,TN,37830,(865) 425-9145  ,Ingrid Hamm,1450 Oak Ridge Turnpike,OAK RIDGE,TN,37830,5YR,12YR,,Center,100,06:30 AM,06:00 PM,N,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,Y,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,GLENWOOD ELEMENTARY SCHOOL - ESP,125 AUDUBON ROAD,OAK RIDGE,TN,37830,(865) 425-9404  ,Ingrid Hamm,1450 Oak Ridge Turnpike,OAK RIDGE,TN,37830,5YR,12YR,,Center,100,06:30 AM,06:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Oak Ridge Schools Preschool,157 Carver Rd,Oak Ridge,TN,37830,(865) 425-9101  ,,157 Carver Rd,Oak Ridge,TN,37830,3YR,4YR,,Center,240,07:45 AM,01:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,7/31/2020,Y,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,Kiddie Korner of Clinton,607 Old Tacora Hills Rd,Clinton,TN,37716,(865) 457-3903  ,Wendy Wilson,607 Old Tacora Hills Rd,Clinton,TN,37716,6WK,12YR,,Center,53,06:30 AM,06:00 PM,Y,N,N,N,N,N,DHS Licensing,Licensed,9/1/2021,5/17/2021,N,N,Y,N,N,N,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Crossroads Academy Preschool ,105 Fellowship Lane,Powell,TN,37849,(865) 945-1239  ,Sabrena Cox,105 Fellowship Lane,Powell,TN,37849,12MO,5YR,3,Center,97,06:30 AM,06:00 PM,N,N,N,N,N,N,DHS Licensing,Licensed,1/1/2021,10/1/2019,N,Y,Y,Y,Y,N,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Small Miracles LLC,930 Grace Ave,Rocky Top ,TN,37769,(865) 803-2705  ,Penny Harmon,PO Box 896,Rocky Top,TN,37769,6WK,5YR,1,Center,24,06:00 AM,06:00 PM,Y,N,N,N,N,N,DHS Licensing,Licensed,10/1/2021,6/10/2019,N,N,Y,Y,Y,N,Y,DAVID CAPPS,(865) 594-9138
,BEDFORD,Children's Learning Center,349 CLARDY ROAD,UNIONVILLE,TN,37180,(931) 294-2244  ,MARGIE STALLINGS,349 CLARDY ROAD,UNIONVILLE,TN,37180,6WK,12YR,2,Center,72,06:00 AM,05:30 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,9/1/2021,6/9/2003,N,Y,Y,N,N,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Little Eagles Nest ,875 Union Street,Shelbyville,TN,37160,(931) 685-9969  ,Michelle Bayne,875 Union Street,Shelbyville,TN,37160,6WK,12YR,3,Center,56,06:00 AM,05:00 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,5/1/2021,1/31/2012,N,Y,Y,N,N,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Toddler Time Preschool,204 TULIPTREE ROAD,SHELBYVILLE,TN,37160,(931) 685-8021  ,TRACY BLESSING,204 TULIPTREE ROAD,SHELBYVILLE,TN,37160,6WK,12YR,3,Group,12,06:30 AM,05:15 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,1/1/2022,9/18/2006,N,N,Y,Y,N,N,Y,Christy Newman,(931) 279-9275
,BEDFORD,Circle of Friends Christian Preschool,400 E. Lane ,Shelbyville,TN,37160,(931) 684-4907  ,SHANNON TAYLOR,400 E. Lane ,Shelbyville,TN,37160,30MO,12YR,3,Center,99,07:00 AM,05:30 PM,Y,Y,N,N,N,N,DHS Licensing,Licensed,6/1/2021,2/24/2020,N,Y,N,N,N,N,N,PAM BREWER,(931) 319-7429
,BEDFORD,Wartrace Head Start,112 BRIDGEVIEW STREET,WARTRACE,TN,37183,(931) 389-6406  ,JANE WEST,P. O. BOX 266,WARTRACE,TN,37183,3YR,5YR,3,Center,20,07:45 AM,03:15 PM,N,N,N,N,N,N,DHS Licensing,Licensed,3/1/2021,3/1/1997,N,N,Y,Y,Y,N,Y,Christy Newman,(931) 279-9275
,BEDFORD,Harris Head Start,610 Elm Street,Shelbyville,TN,37160,(931) 773-0033  ,Melissa White,P. O. Box 147,Shelbyville,TN,37162,3YR,5YR,3,Center,90,08:00 AM,01:30 PM,N,N,N,N,N,N,DHS Licensing,Licensed,1/1/2022,9/1/2011,N,Y,Y,N,N,N,Y,Christy Newman,(931) 279-9275
,BEDFORD,Bedford County Early Head Start,515 Rock St. ,Shelbyville,TN,37160,(931) 685-0876  ,Brieanna  Davidson,515 Rock St. ,Shelbyville,TN,37160,6WK,3YR,,Center,16,08:00 AM,02:00 PM,N,N,N,N,N,N,DHS Licensing,Licensed,6/14/2021,6/14/2021,N,Y,Y,N,N,N,Y,Christy Newman,(931) 279-9275
,BEDFORD,Northside Head Start,105 Northside Circle,Shelbyville,TN,37160,(931) 773-0141  ,Amanda Adams,P.O Box 127,Shelbyville,TN,37162,3YR,5YR,3,Center,68,08:00 AM,02:30 PM,N,N,N,N,N,N,DHS Licensing,Licensed,4/1/2021,12/22/2014,N,Y,Y,N,N,N,Y,Christy Newman,(931) 279-9275
,BEDFORD,Miss Menza's Day Care Center,403 BELMONT AVE.,SHELBYVILLE,TN,37160,(931) 684-5252  ,MENZA CANTRELL,403 BELMONT AVE.,SHELBYVILLE,TN,37160,6WK,12YR,3,Center,95,05:30 AM,05:30 PM,Y,N,N,N,Y,N,DHS Licensing,Licensed,10/1/2021,7/1/1990,N,Y,Y,Y,Y,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Kiddie Kingdom,211 KINGREE ROAD,SHELBYVILLE,TN,37160,(931) 685-9600  ,Carmen Newcomb,211 KINGREE ROAD,SHELBYVILLE,TN,37160,18MO,6YR,3,Center,24,06:00 AM,05:00 PM,Y,N,N,N,N,N,DHS Licensing,Licensed,1/1/2022,9/24/2007,N,Y,Y,N,N,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,"Building Blocks of A, B, & D",725 ALTON AVE.,SHELBYVILLE,TN,37160,(931) 685-9522  ,DONNYE FIELDS,725 ALTON AVE.,SHELBYVILLE,TN,37160,6WK,12YR,3,Group,12,07:00 AM,05:00 PM,N,N,N,Y,N,N,DHS Licensing,Licensed,10/1/2021,10/1/1987,N,Y,Y,Y,Y,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Reed's Love N Care,204 South Linda Drive,Shelbyville,TN,37160,(931) 684-5568  ,RHONDA REED,204 South Linda Drive,Shelbyville,TN,37160,3YR,12YR,0,Group,12,06:30 AM,05:30 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,5/1/2021,1/19/2012,N,Y,Y,Y,Y,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Wartrace Wee Champs,322 SPRING ST.,WARTRACE,TN,37183,(931) 607-8546  ,VIVIAN BYNUM,322 SPRING ST.,WARTRACE,TN,37183,6WK,12YR,3,Group,12,07:00 AM,05:00 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,3/1/2021,3/1/1997,Y,Y,Y,Y,Y,Y,Y,Christy Newman,(931) 279-9275
,BEDFORD,Boys & Girls Club of Rutherford Co. SU,1055 Madison Street,Shelbyville,TN,37160,(931) 735-6525  ,,1055 Madison Street,Shelbyville,TN,37160,5YR,14YR,,Center,85,02:30 PM,06:00 PM,N,N,Y,N,Y,N,Department Of Education,Licensed,2/4/2022,2/4/2022,N,N,N,N,N,N,Y,BILLY BENTON,(615) 210-8686
,BEDFORD,Barnyard Kids,330 BETHANY LANE,SHELBYVILLE,TN,37160,(931) 684-4332  ,DANA BARNES,330 BETHANY LANE,SHELBYVILLE,TN,37160,6WK,12YR,0,Center,99,06:30 AM,05:30 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,9/1/2021,9/1/1996,N,Y,Y,Y,Y,Y,N,Christina Ham,(615) 428-3021
